category_slot_id,capture_date,broad_category_slug,shop_name,shop_url,category_focus,shop_rating,product_count,hero_products,price_band,content_style,live_intensity,notes,recommended_keywords,recommended_search_url
beauty-personal-care-SHOP-01,2026-05-10,beauty-personal-care,,,,,,,,,,,serum | dark spot serum | brightening serum | lip tint | lip gloss set | lip combo,https://www.tiktok.com/search?q=serum
beauty-personal-care-SHOP-02,2026-05-10,beauty-personal-care,,,,,,,,,,,serum | dark spot serum | brightening serum | lip tint | lip gloss set | lip combo,https://www.tiktok.com/search?q=serum
beauty-personal-care-SHOP-03,2026-05-10,beauty-personal-care,,,,,,,,,,,serum | dark spot serum | brightening serum | lip tint | lip gloss set | lip combo,https://www.tiktok.com/search?q=serum
beauty-personal-care-SHOP-04,2026-05-10,beauty-personal-care,,,,,,,,,,,serum | dark spot serum | brightening serum | lip tint | lip gloss set | lip combo,https://www.tiktok.com/search?q=serum
beauty-personal-care-SHOP-05,2026-05-10,beauty-personal-care,,,,,,,,,,,serum | dark spot serum | brightening serum | lip tint | lip gloss set | lip combo,https://www.tiktok.com/search?q=serum
beauty-personal-care-SHOP-06,2026-05-10,beauty-personal-care,,,,,,,,,,,serum | dark spot serum | brightening serum | lip tint | lip gloss set | lip combo,https://www.tiktok.com/search?q=serum
muslim-fashion-SHOP-01,2026-05-10,muslim-fashion,,,,,,,,,,,blouse muslimah | modest blouse | long top | baju kurung | kurung moden | kurung set,https://www.tiktok.com/search?q=blouse+muslimah
muslim-fashion-SHOP-02,2026-05-10,muslim-fashion,,,,,,,,,,,blouse muslimah | modest blouse | long top | baju kurung | kurung moden | kurung set,https://www.tiktok.com/search?q=blouse+muslimah
muslim-fashion-SHOP-03,2026-05-10,muslim-fashion,,,,,,,,,,,blouse muslimah | modest blouse | long top | baju kurung | kurung moden | kurung set,https://www.tiktok.com/search?q=blouse+muslimah
muslim-fashion-SHOP-04,2026-05-10,muslim-fashion,,,,,,,,,,,blouse muslimah | modest blouse | long top | baju kurung | kurung moden | kurung set,https://www.tiktok.com/search?q=blouse+muslimah
muslim-fashion-SHOP-05,2026-05-10,muslim-fashion,,,,,,,,,,,blouse muslimah | modest blouse | long top | baju kurung | kurung moden | kurung set,https://www.tiktok.com/search?q=blouse+muslimah
muslim-fashion-SHOP-06,2026-05-10,muslim-fashion,,,,,,,,,,,blouse muslimah | modest blouse | long top | baju kurung | kurung moden | kurung set,https://www.tiktok.com/search?q=blouse+muslimah
food-beverages-SHOP-01,2026-05-10,food-beverages,,,,,,,,,,,halal snack | chips | crackers | jeruk mangga | asam snack | pickled fruit,https://www.tiktok.com/search?q=halal+snack
food-beverages-SHOP-02,2026-05-10,food-beverages,,,,,,,,,,,halal snack | chips | crackers | jeruk mangga | asam snack | pickled fruit,https://www.tiktok.com/search?q=halal+snack
food-beverages-SHOP-03,2026-05-10,food-beverages,,,,,,,,,,,halal snack | chips | crackers | jeruk mangga | asam snack | pickled fruit,https://www.tiktok.com/search?q=halal+snack
food-beverages-SHOP-04,2026-05-10,food-beverages,,,,,,,,,,,halal snack | chips | crackers | jeruk mangga | asam snack | pickled fruit,https://www.tiktok.com/search?q=halal+snack
food-beverages-SHOP-05,2026-05-10,food-beverages,,,,,,,,,,,halal snack | chips | crackers | jeruk mangga | asam snack | pickled fruit,https://www.tiktok.com/search?q=halal+snack
food-beverages-SHOP-06,2026-05-10,food-beverages,,,,,,,,,,,halal snack | chips | crackers | jeruk mangga | asam snack | pickled fruit,https://www.tiktok.com/search?q=halal+snack
health-SHOP-01,2026-05-10,health,,,,,,,,,,,vitamin gummies | multivitamin | daily supplement | collagen drink | collagen powder | beauty drink,https://www.tiktok.com/search?q=vitamin+gummies
health-SHOP-02,2026-05-10,health,,,,,,,,,,,vitamin gummies | multivitamin | daily supplement | collagen drink | collagen powder | beauty drink,https://www.tiktok.com/search?q=vitamin+gummies
health-SHOP-03,2026-05-10,health,,,,,,,,,,,vitamin gummies | multivitamin | daily supplement | collagen drink | collagen powder | beauty drink,https://www.tiktok.com/search?q=vitamin+gummies
health-SHOP-04,2026-05-10,health,,,,,,,,,,,vitamin gummies | multivitamin | daily supplement | collagen drink | collagen powder | beauty drink,https://www.tiktok.com/search?q=vitamin+gummies
health-SHOP-05,2026-05-10,health,,,,,,,,,,,vitamin gummies | multivitamin | daily supplement | collagen drink | collagen powder | beauty drink,https://www.tiktok.com/search?q=vitamin+gummies
health-SHOP-06,2026-05-10,health,,,,,,,,,,,vitamin gummies | multivitamin | daily supplement | collagen drink | collagen powder | beauty drink,https://www.tiktok.com/search?q=vitamin+gummies
textiles-SHOP-01,2026-05-10,textiles,,,,,,,,,,,bedsheet | fitted sheet | bed cover | pillowcase | blanket | comforter,https://www.tiktok.com/search?q=bedsheet
textiles-SHOP-02,2026-05-10,textiles,,,,,,,,,,,bedsheet | fitted sheet | bed cover | pillowcase | blanket | comforter,https://www.tiktok.com/search?q=bedsheet
textiles-SHOP-03,2026-05-10,textiles,,,,,,,,,,,bedsheet | fitted sheet | bed cover | pillowcase | blanket | comforter,https://www.tiktok.com/search?q=bedsheet
textiles-SHOP-04,2026-05-10,textiles,,,,,,,,,,,bedsheet | fitted sheet | bed cover | pillowcase | blanket | comforter,https://www.tiktok.com/search?q=bedsheet
textiles-SHOP-05,2026-05-10,textiles,,,,,,,,,,,bedsheet | fitted sheet | bed cover | pillowcase | blanket | comforter,https://www.tiktok.com/search?q=bedsheet
textiles-SHOP-06,2026-05-10,textiles,,,,,,,,,,,bedsheet | fitted sheet | bed cover | pillowcase | blanket | comforter,https://www.tiktok.com/search?q=bedsheet
home-supplies-SHOP-01,2026-05-10,home-supplies,,,,,,,,,,,organizer | drawer organizer | storage box | cleaning brush | magic sponge | wiper,https://www.tiktok.com/search?q=organizer
home-supplies-SHOP-02,2026-05-10,home-supplies,,,,,,,,,,,organizer | drawer organizer | storage box | cleaning brush | magic sponge | wiper,https://www.tiktok.com/search?q=organizer
home-supplies-SHOP-03,2026-05-10,home-supplies,,,,,,,,,,,organizer | drawer organizer | storage box | cleaning brush | magic sponge | wiper,https://www.tiktok.com/search?q=organizer
home-supplies-SHOP-04,2026-05-10,home-supplies,,,,,,,,,,,organizer | drawer organizer | storage box | cleaning brush | magic sponge | wiper,https://www.tiktok.com/search?q=organizer
home-supplies-SHOP-05,2026-05-10,home-supplies,,,,,,,,,,,organizer | drawer organizer | storage box | cleaning brush | magic sponge | wiper,https://www.tiktok.com/search?q=organizer
home-supplies-SHOP-06,2026-05-10,home-supplies,,,,,,,,,,,organizer | drawer organizer | storage box | cleaning brush | magic sponge | wiper,https://www.tiktok.com/search?q=organizer
womenswear-SHOP-01,2026-05-10,womenswear,,,,,,,,,,,oversized tee | casual top | blouse | house dress | lounge set | pajama wanita,https://www.tiktok.com/search?q=oversized+tee
womenswear-SHOP-02,2026-05-10,womenswear,,,,,,,,,,,oversized tee | casual top | blouse | house dress | lounge set | pajama wanita,https://www.tiktok.com/search?q=oversized+tee
womenswear-SHOP-03,2026-05-10,womenswear,,,,,,,,,,,oversized tee | casual top | blouse | house dress | lounge set | pajama wanita,https://www.tiktok.com/search?q=oversized+tee
womenswear-SHOP-04,2026-05-10,womenswear,,,,,,,,,,,oversized tee | casual top | blouse | house dress | lounge set | pajama wanita,https://www.tiktok.com/search?q=oversized+tee
womenswear-SHOP-05,2026-05-10,womenswear,,,,,,,,,,,oversized tee | casual top | blouse | house dress | lounge set | pajama wanita,https://www.tiktok.com/search?q=oversized+tee
womenswear-SHOP-06,2026-05-10,womenswear,,,,,,,,,,,oversized tee | casual top | blouse | house dress | lounge set | pajama wanita,https://www.tiktok.com/search?q=oversized+tee
menswear-SHOP-01,2026-05-10,menswear,,,,,,,,,,,tee lelaki | polo shirt | oversized tee lelaki | shorts lelaki | jogger | cargo short,https://www.tiktok.com/search?q=tee+lelaki
menswear-SHOP-02,2026-05-10,menswear,,,,,,,,,,,tee lelaki | polo shirt | oversized tee lelaki | shorts lelaki | jogger | cargo short,https://www.tiktok.com/search?q=tee+lelaki
menswear-SHOP-03,2026-05-10,menswear,,,,,,,,,,,tee lelaki | polo shirt | oversized tee lelaki | shorts lelaki | jogger | cargo short,https://www.tiktok.com/search?q=tee+lelaki
menswear-SHOP-04,2026-05-10,menswear,,,,,,,,,,,tee lelaki | polo shirt | oversized tee lelaki | shorts lelaki | jogger | cargo short,https://www.tiktok.com/search?q=tee+lelaki
menswear-SHOP-05,2026-05-10,menswear,,,,,,,,,,,tee lelaki | polo shirt | oversized tee lelaki | shorts lelaki | jogger | cargo short,https://www.tiktok.com/search?q=tee+lelaki
menswear-SHOP-06,2026-05-10,menswear,,,,,,,,,,,tee lelaki | polo shirt | oversized tee lelaki | shorts lelaki | jogger | cargo short,https://www.tiktok.com/search?q=tee+lelaki
phones-electronics-SHOP-01,2026-05-10,phones-electronics,,,,,,,,,,,phone case | screen protector | camera lens protector | charger | cable | adapter,https://www.tiktok.com/search?q=phone+case
phones-electronics-SHOP-02,2026-05-10,phones-electronics,,,,,,,,,,,phone case | screen protector | camera lens protector | charger | cable | adapter,https://www.tiktok.com/search?q=phone+case
phones-electronics-SHOP-03,2026-05-10,phones-electronics,,,,,,,,,,,phone case | screen protector | camera lens protector | charger | cable | adapter,https://www.tiktok.com/search?q=phone+case
phones-electronics-SHOP-04,2026-05-10,phones-electronics,,,,,,,,,,,phone case | screen protector | camera lens protector | charger | cable | adapter,https://www.tiktok.com/search?q=phone+case
phones-electronics-SHOP-05,2026-05-10,phones-electronics,,,,,,,,,,,phone case | screen protector | camera lens protector | charger | cable | adapter,https://www.tiktok.com/search?q=phone+case
phones-electronics-SHOP-06,2026-05-10,phones-electronics,,,,,,,,,,,phone case | screen protector | camera lens protector | charger | cable | adapter,https://www.tiktok.com/search?q=phone+case
pet-supplies-SHOP-01,2026-05-10,pet-supplies,,,,,,,,,,,cat toy | chew toy | feather teaser | pet bowl | auto feeder | water dispenser,https://www.tiktok.com/search?q=cat+toy
pet-supplies-SHOP-02,2026-05-10,pet-supplies,,,,,,,,,,,cat toy | chew toy | feather teaser | pet bowl | auto feeder | water dispenser,https://www.tiktok.com/search?q=cat+toy
pet-supplies-SHOP-03,2026-05-10,pet-supplies,,,,,,,,,,,cat toy | chew toy | feather teaser | pet bowl | auto feeder | water dispenser,https://www.tiktok.com/search?q=cat+toy
pet-supplies-SHOP-04,2026-05-10,pet-supplies,,,,,,,,,,,cat toy | chew toy | feather teaser | pet bowl | auto feeder | water dispenser,https://www.tiktok.com/search?q=cat+toy
pet-supplies-SHOP-05,2026-05-10,pet-supplies,,,,,,,,,,,cat toy | chew toy | feather teaser | pet bowl | auto feeder | water dispenser,https://www.tiktok.com/search?q=cat+toy
pet-supplies-SHOP-06,2026-05-10,pet-supplies,,,,,,,,,,,cat toy | chew toy | feather teaser | pet bowl | auto feeder | water dispenser,https://www.tiktok.com/search?q=cat+toy
sports-outdoors-SHOP-01,2026-05-10,sports-outdoors,,,,,,,,,,,resistance band | yoga block | foam roller | shaker bottle | water bottle | sports bottle,https://www.tiktok.com/search?q=resistance+band
sports-outdoors-SHOP-02,2026-05-10,sports-outdoors,,,,,,,,,,,resistance band | yoga block | foam roller | shaker bottle | water bottle | sports bottle,https://www.tiktok.com/search?q=resistance+band
sports-outdoors-SHOP-03,2026-05-10,sports-outdoors,,,,,,,,,,,resistance band | yoga block | foam roller | shaker bottle | water bottle | sports bottle,https://www.tiktok.com/search?q=resistance+band
sports-outdoors-SHOP-04,2026-05-10,sports-outdoors,,,,,,,,,,,resistance band | yoga block | foam roller | shaker bottle | water bottle | sports bottle,https://www.tiktok.com/search?q=resistance+band
sports-outdoors-SHOP-05,2026-05-10,sports-outdoors,,,,,,,,,,,resistance band | yoga block | foam roller | shaker bottle | water bottle | sports bottle,https://www.tiktok.com/search?q=resistance+band
sports-outdoors-SHOP-06,2026-05-10,sports-outdoors,,,,,,,,,,,resistance band | yoga block | foam roller | shaker bottle | water bottle | sports bottle,https://www.tiktok.com/search?q=resistance+band
bags-SHOP-01,2026-05-10,bags,,,,,,,,,,,crossbody bag | sling bag | mini bag | travel bag | travel organizer | packing pouch,https://www.tiktok.com/search?q=crossbody+bag
bags-SHOP-02,2026-05-10,bags,,,,,,,,,,,crossbody bag | sling bag | mini bag | travel bag | travel organizer | packing pouch,https://www.tiktok.com/search?q=crossbody+bag
bags-SHOP-03,2026-05-10,bags,,,,,,,,,,,crossbody bag | sling bag | mini bag | travel bag | travel organizer | packing pouch,https://www.tiktok.com/search?q=crossbody+bag
bags-SHOP-04,2026-05-10,bags,,,,,,,,,,,crossbody bag | sling bag | mini bag | travel bag | travel organizer | packing pouch,https://www.tiktok.com/search?q=crossbody+bag
bags-SHOP-05,2026-05-10,bags,,,,,,,,,,,crossbody bag | sling bag | mini bag | travel bag | travel organizer | packing pouch,https://www.tiktok.com/search?q=crossbody+bag
bags-SHOP-06,2026-05-10,bags,,,,,,,,,,,crossbody bag | sling bag | mini bag | travel bag | travel organizer | packing pouch,https://www.tiktok.com/search?q=crossbody+bag
fashion-accessories-SHOP-01,2026-05-10,fashion-accessories,,,,,,,,,,,socks | ankle socks | sock bundle | hair clip | scrunchie | hair band,https://www.tiktok.com/search?q=socks
fashion-accessories-SHOP-02,2026-05-10,fashion-accessories,,,,,,,,,,,socks | ankle socks | sock bundle | hair clip | scrunchie | hair band,https://www.tiktok.com/search?q=socks
fashion-accessories-SHOP-03,2026-05-10,fashion-accessories,,,,,,,,,,,socks | ankle socks | sock bundle | hair clip | scrunchie | hair band,https://www.tiktok.com/search?q=socks
fashion-accessories-SHOP-04,2026-05-10,fashion-accessories,,,,,,,,,,,socks | ankle socks | sock bundle | hair clip | scrunchie | hair band,https://www.tiktok.com/search?q=socks
fashion-accessories-SHOP-05,2026-05-10,fashion-accessories,,,,,,,,,,,socks | ankle socks | sock bundle | hair clip | scrunchie | hair band,https://www.tiktok.com/search?q=socks
fashion-accessories-SHOP-06,2026-05-10,fashion-accessories,,,,,,,,,,,socks | ankle socks | sock bundle | hair clip | scrunchie | hair band,https://www.tiktok.com/search?q=socks
shoes-SHOP-01,2026-05-10,shoes,,,,,,,,,,,slippers | sandal | selipar | casual shoes | sneakers | canvas shoes,https://www.tiktok.com/search?q=slippers
shoes-SHOP-02,2026-05-10,shoes,,,,,,,,,,,slippers | sandal | selipar | casual shoes | sneakers | canvas shoes,https://www.tiktok.com/search?q=slippers
